date_plated,date_counted,location,dilution,replicate,colonies,cfu/ml,cfu/g,notes
2022-11-18,2022-11-20,PL,10-2,2,2,2000,200,
2022-11-18,2022-11-20,PL,10-2,3,0,0,0,
2022-11-18,2022-11-22,CM,10-1,1,108,10800,1080,
2022-11-18,2022-11-22,CM,10-1,2,135,13500,1350,
2022-11-18,2022-11-22,CM,10-1,3,101,10100,1010,
2022-11-18,2022-11-22,CM,10-2,1,28,28000,2800,
2022-11-18,2022-11-22,CM,10-2,2,11,11000,1100,
2022-11-18,2022-11-22,CM,10-2,3,16,16000,1600,
2022-11-18,2022-11-22,NN,10-1,1,13,1300,130,
2022-11-18,2022-11-22,NN,10-1,2,17,1700,170,
2022-11-18,2022-11-22,NN,10-1,3,20,2000,200,
2022-11-18,2022-11-22,NN,10-2,1,2,2000,200,
2022-11-18,2022-11-22,NN,10-2,2,3,3000,300,
2022-11-18,2022-11-22,NN,10-2,3,2,2000,200,
2022-11-18,2022-11-22,CP,10-1,1,22,2200,220,
2022-11-18,2022-11-22,CP,10-1,2,21,2100,210,
2022-11-18,2022-11-22,CP,10-1,3,26,2600,260,
2022-11-18,2022-11-22,CP,10-2,1,7,7000,700,
2022-11-18,2022-11-22,CP,10-2,2,6,6000,600,
2022-11-18,2022-11-22,CP,10-2,3,10,10000,1000,
2022-11-18,2022-11-22,PL,10-1,1,38,3800,380,
2022-11-18,2022-11-22,PL,10-1,2,39,3900,390,
2022-11-18,2022-11-22,PL,10-1,3,30,3000,300,
2022-11-18,2022-11-22,PL,10-2,1,3,3000,300,scratched and a lot of bacterial infection
2022-11-18,2022-11-22,PL,10-2,2,15,15000,1500,
2022-11-18,2022-11-22,PL,10-2,3,4,4000,400,
